id,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
226,Andaman & Nicobar Islands,2022,2,Merchant payments,449540,510838980.9061847
227,Andaman & Nicobar Islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
228,Andaman & Nicobar Islands,2022,2,Recharge & bill payments,179515,82232936.61795366
229,Andaman & Nicobar Islands,2022,2,Financial Services,1448,2089862.3927160464
230,Andaman & Nicobar Islands,2022,2,Others,3108,2449496.7081265687
231,Andaman & Nicobar Islands,2022,3,Merchant payments,716105,693438186.296541
232,Andaman & Nicobar Islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
233,Andaman & Nicobar Islands,2022,3,Recharge & bill payments,240766,97748065.62714244
234,Andaman & Nicobar Islands,2022,3,Financial Services,1814,2166304.9779766416
235,Andaman & Nicobar Islands,2022,3,Others,3477,2744060.670897343
236,Andaman & Nicobar Islands,2022,4,Merchant payments,956536,906365300.6585041
237,Andaman & Nicobar Islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
238,Andaman & Nicobar Islands,2022,4,Recharge & bill payments,256050,110037119.66941178
239,Andaman & Nicobar Islands,2022,4,Financial Services,2499,3533987.2301130476
240,Andaman & Nicobar Islands,2022,4,Others,3692,3107412.043626394
241,Andaman & Nicobar Islands,2023,1,Merchant payments,1122063,1008821751.0
242,Andaman & Nicobar Islands,2023,1,Peer-to-peer payments,862347,3299762230.0
243,Andaman & Nicobar Islands,2023,1,Recharge & bill payments,286024,146338470.0
244,Andaman & Nicobar Islands,2023,1,Financial Services,2515,3556954.0
245,Andaman & Nicobar Islands,2023,1,Others,3443,3049182.0
246,Andaman & Nicobar Islands,2023,2,Merchant payments,1410653,1159905474.0
247,Andaman & Nicobar Islands,2023,2,Peer-to-peer payments,970525,3664415887.0
248,Andaman & Nicobar Islands,2023,2,Recharge & bill payments,320922,158455723.0
249,Andaman & Nicobar Islands,2023,2,Financial Services,2158,4161814.0
250,Andaman & Nicobar Islands,2023,2,Others,3517,3405338.0
251,Andaman & Nicobar Islands,2023,3,Merchant payments,1657848,1289780198.0
252,Andaman & Nicobar Islands,2023,3,Peer-to-peer payments,1111211,3757627272.0
253,Andaman & Nicobar Islands,2023,3,Recharge & bill payments,323935,157992380.0
254,Andaman & Nicobar Islands,2023,3,Financial Services,2199,3850023.0
255,Andaman & Nicobar Islands,2023,3,Others,3183,2346918.0
256,Andaman & Nicobar Islands,2023,4,Merchant payments,2039888,1653303276.0
257,Andaman & Nicobar Islands,2023,4,Peer-to-peer payments,1321796,4420459049.0
258,Andaman & Nicobar Islands,2023,4,Recharge & bill payments,327460,185028400.0
