id,State,Year,Quarter,Registered_users,App_opens,User_brand,User_count,User_percentage
211,Andaman & Nicobar Islands,2018,3,12149,0,Samsung,2409,0.19828792493209318
212,Andaman & Nicobar Islands,2018,3,12149,0,Vivo,2063,0.1698082146678739
213,Andaman & Nicobar Islands,2018,3,12149,0,Oppo,988,0.08132356572557412
214,Andaman & Nicobar Islands,2018,3,12149,0,OnePlus,617,0.05078607292781299
215,Andaman & Nicobar Islands,2018,3,12149,0,Realme,603,0.04963371470902955
216,Andaman & Nicobar Islands,2018,3,12149,0,Motorola,390,0.03210140752325294
217,Andaman & Nicobar Islands,2018,3,12149,0,Apple,371,0.03053749279776113
218,Andaman & Nicobar Islands,2018,3,12149,0,Huawei,314,0.0258457486212857
219,Andaman & Nicobar Islands,2018,3,12149,0,Lenovo,299,0.024611079101160588
220,Andaman & Nicobar Islands,2018,3,12149,0,Others,1145,0.09424644003621697
221,Andaman & Nicobar Islands,2018,4,15222,0,Xiaomi,3719,0.24431743529102615
222,Andaman & Nicobar Islands,2018,4,15222,0,Samsung,2936,0.19287872815661541
223,Andaman & Nicobar Islands,2018,4,15222,0,Vivo,2742,0.1801340165549862
224,Andaman & Nicobar Islands,2018,4,15222,0,Oppo,1268,0.08330048613848377
225,Andaman & Nicobar Islands,2018,4,15222,0,Realme,760,0.04992773617133097
226,Andaman & Nicobar Islands,2018,4,15222,0,OnePlus,721,0.0473656549730653
227,Andaman & Nicobar Islands,2018,4,15222,0,Motorola,474,0.031139140717382736
228,Andaman & Nicobar Islands,2018,4,15222,0,Apple,455,0.02989094731309946
229,Andaman & Nicobar Islands,2018,4,15222,0,Huawei,398,0.02614636710024964
230,Andaman & Nicobar Islands,2018,4,15222,0,Lenovo,377,0.024766784916568124
231,Andaman & Nicobar Islands,2018,4,15222,0,Others,1372,0.09013270266719223
232,Andaman & Nicobar Islands,2019,1,18596,0,Xiaomi,4576,0.24607442460744247
233,Andaman & Nicobar Islands,2019,1,18596,0,Samsung,3567,0.19181544418154442
234,Andaman & Nicobar Islands,2019,1,18596,0,Vivo,3420,0.18391051839105185
235,Andaman & Nicobar Islands,2019,1,18596,0,Oppo,1600,0.08604000860400086
236,Andaman & Nicobar Islands,2019,1,18596,0,Realme,897,0.04823617982361798
237,Andaman & Nicobar Islands,2019,1,18596,0,OnePlus,855,0.04597762959776296
238,Andaman & Nicobar Islands,2019,1,18596,0,Motorola,561,0.0301677780167778
239,Andaman & Nicobar Islands,2019,1,18596,0,Apple,515,0.027694127769412775
240,Andaman & Nicobar Islands,2019,1,18596,0,Huawei,515,0.027694127769412775
241,Andaman & Nicobar Islands,2019,1,18596,0,Lenovo,426,0.02290815229081523
242,Andaman & Nicobar Islands,2019,1,18596,0,Others,1664,0.0894816089481609
243,Andaman & Nicobar Islands,2019,2,21731,52640,Xiaomi,5296,0.24370714647278083
244,Andaman & Nicobar Islands,2019,2,21731,52640,Samsung,4165,0.19166168146886936
245,Andaman & Nicobar Islands,2019,2,21731,52640,Vivo,4102,0.18876259721135705
246,Andaman & Nicobar Islands,2019,2,21731,52640,Oppo,1905,0.08766278588191984
247,Andaman & Nicobar Islands,2019,2,21731,52640,Realme,1012,0.04656941696194377
248,Andaman & Nicobar Islands,2019,2,21731,52640,OnePlus,950,0.04371634991486816
249,Andaman & Nicobar Islands,2019,2,21731,52640,Huawei,644,0.029635083521236942
250,Andaman & Nicobar Islands,2019,2,21731,52640,Motorola,630,0.028990842575123098
251,Andaman & Nicobar Islands,2019,2,21731,52640,Apple,569,0.026183792738484195
252,Andaman & Nicobar Islands,2019,2,21731,52640,Lenovo,477,0.021950209378307488
253,Andaman & Nicobar Islands,2019,2,21731,52640,Others,1981,0.09116009387510929
254,Andaman & Nicobar Islands,2019,3,23931,171107,Xiaomi,5819,0.24315741088964105
255,Andaman & Nicobar Islands,2019,3,23931,171107,Vivo,4685,0.19577117546278885
256,Andaman & Nicobar Islands,2019,3,23931,171107,Samsung,4508,0.1883749112030421
257,Andaman & Nicobar Islands,2019,3,23931,171107,Oppo,2108,0.08808658225732313
258,Andaman & Nicobar Islands,2019,3,23931,171107,Realme,1158,0.04838911871630939
259,Andaman & Nicobar Islands,2019,3,23931,171107,OnePlus,1045,0.04366720989511512
260,Andaman & Nicobar Islands,2019,3,23931,171107,Huawei,725,0.030295432702352597
261,Andaman & Nicobar Islands,2019,3,23931,171107,Motorola,660,0.02757929046007271
