id,State,Year,Quarter,Entity_type,Entity_name,Registered_users
406,India,2021,2,District,hyderabad,3598337
407,India,2021,2,District,ahmadabad,3209841
408,India,2021,2,District,rangareddy,3097973
409,India,2021,2,District,north twenty four parganas,2660664
410,India,2021,2,District,surat,2633443
411,India,2021,2,Pincode,201301,577428
412,India,2021,2,Pincode,110059,485328
413,India,2021,2,Pincode,560068,455417
414,India,2021,2,Pincode,421302,424376
415,India,2021,2,Pincode,500072,398987
416,India,2021,2,Pincode,122001,385555
417,India,2021,2,Pincode,110092,383095
418,India,2021,2,Pincode,110086,332618
419,India,2021,2,Pincode,121004,328000
420,India,2021,2,Pincode,560078,325334
421,India,2021,3,State,maharashtra,42581217
422,India,2021,3,State,uttar pradesh,34151882
423,India,2021,3,State,karnataka,27614221
424,India,2021,3,State,andhra pradesh,21059898
425,India,2021,3,State,rajasthan,20499465
426,India,2021,3,State,telangana,19615278
427,India,2021,3,State,west bengal,19323278
428,India,2021,3,State,tamil nadu,19127440
429,India,2021,3,State,madhya pradesh,17210233
430,India,2021,3,State,gujarat,16946761
431,India,2021,3,District,bengaluru urban,11321012
432,India,2021,3,District,pune,7398336
433,India,2021,3,District,thane,4597394
434,India,2021,3,District,jaipur,4534297
435,India,2021,3,District,mumbai suburban,4444495
436,India,2021,3,District,hyderabad,3839513
437,India,2021,3,District,ahmadabad,3445024
438,India,2021,3,District,rangareddy,3310906
439,India,2021,3,District,north twenty four parganas,2852030
440,India,2021,3,District,surat,2830392
441,India,2021,3,Pincode,201301,618043
442,India,2021,3,Pincode,110059,520096
443,India,2021,3,Pincode,560068,486170
444,India,2021,3,Pincode,421302,456284
445,India,2021,3,Pincode,500072,425197
446,India,2021,3,Pincode,122001,412737
447,India,2021,3,Pincode,110092,409520
448,India,2021,3,Pincode,110086,357590
449,India,2021,3,Pincode,121004,352312
450,India,2021,3,Pincode,560078,346840
451,India,2021,4,State,maharashtra,45482506
452,India,2021,4,State,uttar pradesh,36617655
453,India,2021,4,State,karnataka,29459646
454,India,2021,4,State,andhra pradesh,22489029
455,India,2021,4,State,rajasthan,21977202
456,India,2021,4,State,telangana,20917649
457,India,2021,4,State,west bengal,20644527
458,India,2021,4,State,tamil nadu,20433142
459,India,2021,4,State,madhya pradesh,18456243
460,India,2021,4,State,gujarat,18139201
461,India,2021,4,District,bengaluru urban,12038775
462,India,2021,4,District,pune,7880431
463,India,2021,4,District,thane,4906492
464,India,2021,4,District,jaipur,4841883
465,India,2021,4,District,mumbai suburban,4740546
466,India,2021,4,District,hyderabad,4081185
467,India,2021,4,District,ahmadabad,3679243
468,India,2021,4,District,rangareddy,3523496
469,India,2021,4,District,north twenty four parganas,3043008
470,India,2021,4,District,surat,3026960
471,India,2021,4,Pincode,201301,659549
472,India,2021,4,Pincode,110059,555449
473,India,2021,4,Pincode,560068,517115
474,India,2021,4,Pincode,421302,488443
475,India,2021,4,Pincode,500072,451595
476,India,2021,4,Pincode,122001,440178
477,India,2021,4,Pincode,110092,436075
478,India,2021,4,Pincode,110086,382858
479,India,2021,4,Pincode,121004,376910
480,India,2021,4,Pincode,560078,368213
481,India,2022,1,State,maharashtra,48227630
482,India,2022,1,State,uttar pradesh,38999692
483,India,2022,1,State,karnataka,31200349
484,India,2022,1,State,andhra pradesh,23857951
485,India,2022,1,State,rajasthan,23398857
486,India,2022,1,State,telangana,22150612
487,India,2022,1,State,west bengal,21919787
488,India,2022,1,State,tamil nadu,21667020
489,India,2022,1,State,madhya pradesh,19656147
490,India,2022,1,State,gujarat,19265314
491,India,2022,1,District,bengaluru urban,12707664
492,India,2022,1,District,pune,8331582
493,India,2022,1,District,thane,5196050
494,India,2022,1,District,jaipur,5133527
495,India,2022,1,District,mumbai suburban,5017556
496,India,2022,1,District,hyderabad,4306136
497,India,2022,1,District,ahmadabad,3897869
